Date,Ticker,Open,High,Low,Close,Adjusted,Returns,Volume
2024-05-21,XELB,7.300000190734863,7.300000190734863,6.699999809265137,6.801000118255615,6.801000118255615,-0.010619719734350275,4630
2024-05-22,XELB,7.199999809265137,7.199999809265137,7.0,7.0,7.0,0.029260384985175802,120
2024-05-23,XELB,7.0,7.296999931335449,6.699999809265137,6.800000190734863,6.800000190734863,-0.028571401323590928,1120
2024-05-24,XELB,7.289999961853027,7.289999961853027,6.710000038146973,6.998000144958496,6.998000144958496,0.029117639510277016,2570
2024-05-28,XELB,7.199999809265137,7.298999786376953,6.993000030517578,7.298999786376953,7.298999786376953,0.043012237093950745,660
2024-05-29,XELB,7.0,7.176000118255615,6.610000133514404,6.710000038146973,6.710000038146973,-0.08069595361946791,4350
2024-05-30,XELB,6.900000095367432,7.199999809265137,6.699999809265137,6.901000022888184,6.901000022888184,0.028464975209442356,2220
2024-05-31,XELB,7.0,7.599999904632568,7.0,7.179999828338623,7.179999828338623,0.04042889501885161,8980
2024-06-03,XELB,7.135000228881836,7.40500020980835,6.909999847412109,7.289999961853027,7.289999961853027,0.015320353223442496,1770
2024-06-04,XELB,7.300000190734863,7.300000190734863,6.800000190734863,6.900000095367432,6.900000095367432,-0.05349792435204104,970
2024-06-05,XELB,6.909999847412109,7.5,6.900000095367432,6.909999847412109,6.909999847412109,0.0014492394067344705,1060
2024-06-06,XELB,6.910999774932861,6.989999771118164,6.909999847412109,6.909999847412109,6.909999847412109,0.0,610
2024-06-07,XELB,6.909999847412109,6.909999847412109,6.703000068664551,6.864999771118164,6.864999771118164,-0.006512312197922587,350
2024-06-10,XELB,7.0,7.0,6.789999961853027,6.809999942779541,6.809999942779541,-0.008011628575723129,400
2024-06-11,XELB,6.909999847412109,7.599999904632568,6.900000095367432,7.497000217437744,7.497000217437744,0.10088109844796866,6510
2024-06-12,XELB,7.199999809265137,7.300000190734863,6.900000095367432,6.949999809265137,6.949999809265137,-0.07296257066930645,7150
2024-06-13,XELB,6.730000019073486,7.25,6.730000019073486,7.052999973297119,7.052999973297119,0.014820167893338843,750
2024-06-14,XELB,6.739999771118164,7.210000038146973,6.730999946594238,7.0,7.0,-0.007514529065330899,450
2024-06-17,XELB,6.900000095367432,6.900000095367432,6.730000019073486,6.815000057220459,6.815000057220459,-0.02642856325422016,390
2024-06-18,XELB,6.864999771118164,6.989999771118164,6.620999813079834,6.620999813079834,6.620999813079834,-0.02846665333994869,1280
2024-06-20,XELB,6.5,6.894999980926514,6.310999870300293,6.310999870300293,6.310999870300293,-0.04682071462487192,1350
2024-06-21,XELB,6.310999870300293,6.997000217437744,6.310999870300293,6.383999824523926,6.383999824523926,0.011567098038960832,5040
2024-06-24,XELB,6.310999870300293,7.400000095367432,6.0,6.0,6.0,-0.060150350106339734,5950
2024-06-25,XELB,6.063000202178955,6.459000110626221,6.0,6.0,6.0,0.0,1200
2024-06-26,XELB,6.010000228881836,6.230000019073486,6.010000228881836,6.099999904632568,6.099999904632568,0.016666650772094727,570
2024-06-27,XELB,6.050000190734863,6.5,6.050000190734863,6.175000190734863,6.175000190734863,0.012295129061450805,6040
2024-06-28,XELB,6.099999904632568,6.099999904632568,5.900000095367432,5.900000095367432,5.900000095367432,-0.04453442702399413,1730
